five_year_period,period_label,total_papers,molecular_papers,culture_papers,microscopy_papers,molecular_pct,culture_pct,microscopy_pct
1925,1925-1929,3,0,1,1,0,33.3,33.3
1930,1930-1934,3,0,2,2,0,66.7,66.7
1935,1935-1939,4,0,2,0,0,50,0
1940,1940-1944,1,0,1,0,0,100,0
1945,1945-1949,6,0,4,1,0,66.7,16.7
1950,1950-1954,15,1,10,1,6.7,66.7,6.7
1955,1955-1959,11,0,7,3,0,63.6,27.3
1960,1960-1964,12,0,9,0,0,75,0
1965,1965-1969,35,0,20,0,0,57.1,0
1970,1970-1974,54,4,48,3,7.4,88.9,5.6
1975,1975-1979,160,2,125,18,1.2,78.1,11.2
1980,1980-1984,200,6,147,34,3,73.5,17
1985,1985-1989,270,9,175,57,3.3,64.8,21.1
1990,1990-1994,436,41,288,121,9.4,66.1,27.8
1995,1995-1999,499,72,349,105,14.4,69.9,21
2000,2000-2004,749,198,555,176,26.4,74.1,23.5
2005,2005-2009,1467,416,1145,320,28.4,78.1,21.8
2010,2010-2014,2807,1099,2289,644,39.2,81.5,22.9
2015,2015-2019,4410,1863,3509,990,42.2,79.6,22.4
2020,2020-2024,7005,2965,5493,1404,42.3,78.4,20
2025,2025-2029,1051,493,839,207,46.9,79.8,19.7
