"confidence_bin","prediction_type","count","mean_confidence","accuracy"
"0.5-0.6","Other",379,0.547912077616046,0
"0.5-0.6","Presence",1197,0.552407645422604,1
"0.6-0.7","Other",334,0.651190825022042,0
"0.6-0.7","Presence",1472,0.652589587648825,1
"0.7-0.8","Absence",12,0.76427310850576,1
"0.7-0.8","Other",306,0.751641041849668,0
"0.7-0.8","Presence",2079,0.75483073415809,1
"0.8-0.9","Absence",55,0.856900158555829,1
"0.8-0.9","Other",325,0.850246755225123,0
"0.8-0.9","Presence",3787,0.856919482295062,1
"0.9-1","Other",638,0.968157427710306,0
"0.9-1","Presence",10823,0.956265889906504,1
