publication_year,publications
1926,1
1927,1
1928,1
1929,0
1930,1
1931,1
1932,0
1933,1
1934,0
1935,1
1936,0
1937,0
1938,2
1939,1
1940,0
1941,0
1942,0
1943,0
1944,1
1945,1
1946,2
1947,0
1948,2
1949,1
1950,4
1951,3
1952,1
1953,7
1954,0
1955,3
1956,0
1957,0
1958,4
1959,4
1960,0
1961,2
1962,3
1963,2
1964,5
1965,3
1966,8
1967,10
1968,5
1969,9
1970,4
1971,12
1972,8
1973,17
1974,13
1975,21
1976,32
1977,40
1978,28
1979,39
1980,38
1981,26
1982,47
1983,43
1984,46
1985,49
1986,50
1987,56
1988,65
1989,50
1990,66
1991,90
1992,80
1993,111
1994,89
1995,89
1996,101
1997,101
1998,98
1999,110
2000,111
2001,155
2002,158
2003,145
2004,180
2005,218
2006,233
2007,272
2008,343
2009,401
2010,385
2011,479
2012,584
2013,643
2014,716
2015,719
2016,841
2017,823
2018,944
2019,1083
2020,1229
2021,1409
2022,1429
2023,1389
2024,1549
2025,1051
